-52	20
-23	7062
-20	4101
-19	1
-17	2
-13	6
-12	1
9	35114
10	42413
13	42413
" "	728826
"!"	2160
"""	12021
"'"	56024
"("	392
")"	392
","	53636
"-"	1249
"."	34625
"/"	21
"0"	3132
"1"	16284
"2"	11477
"3"	7346
"4"	5317
"5"	4385
"6"	3920
"7"	3638
"8"	3415
"9"	3255
":"	10884
";"	8199
"?"	3222
"@"	7
"A"	8000
"B"	2330
"C"	5528
"D"	8487
"E"	6406
"F"	1915
"G"	7994
"H"	598
"I"	9618
"J"	7
"K"	356
"L"	2835
"M"	5064
"N"	3503
"O"	1679
"P"	4763
"Q"	2299
"R"	1658
"S"	14857
"T"	2434
"U"	745
"V"	1254
"W"	1
"X"	4
"Z"	662
"["	35554
"]"	35554
"a"	366687
"b"	26818
"c"	139220
"d"	131326
"e"	410025
"f"	37591
"g"	71918
"h"	38776
"i"	389985
"j"	2
"k"	746
"l"	220705
"m"	82289
"n"	230770
"o"	355822
"p"	85135
"q"	15145
"r"	231437
"s"	171928
"t"	201715
"u"	111993
"v"	58768
"w"	18
"x"	3
"y"	1
"z"	22143
"}"	1
